Plot;Treatment;Basalt_type_exp;Dose_response_exp.;Sampled_on;Daysafterstart;EC;unit;EC_µS_cm;pH;DOC_raw;DOC;DIC_raw;DIC_minus_blanks;DIC;DTC_raw;DTC;Unit;measured_pH_EC_on;measured_by;Notes;Alkalinity_mg_l_CaCO3;Alkalinity_meq_l;Alk_meq_l_corr;NH4-N_mgN_l;NO2-N_mgN_l;NO3-N_mgN_l;PO4-P_mgP_l;SO4_mgSO4_l;Cl_mgCl_l;Ca_mg_l;Fe_mg_l;K_mg_l;Mg_mg_l;Na_mg_l;Ni_mg_l;P_mg_l;Al_mg_l;Si_mg_l
2;Eifelgold_50;Y;N;6/09/2023;106;121.1;µS/cm;121.10;7.59;14.747;10.934;2.676;6.034;6.034;17.422;16.967;mg/l;;Emma;;25;0.50;0.50;0.05;0.0003;3.26;0.30;6;4;8.58;0.052;11.60;2.05;4.34;<0,001;;0.155;3.967
3;Huhnerberg_02;N;Y;6/09/2023;106;181.9;µS/cm;181.90;7.83;23.526;19.713;4.129;7.487;7.487;27.655;27.2;mg/l;;Emma;;36;0.72;0.72;0.09;0.0004;6.04;0.21;8;7;16.15;0.088;17.99;3.99;2.20;<0,001;;0.287;3.145
4;Bolsdorfer_50;Y;N;6/09/2023;106;527.9;µS/cm;527.90;7.68;22.81;18.997;5.057;8.415;8.415;27.866;27.411;mg/l;;Emma;;35;0.70;0.70;0.89;0.0003;10.02;0.37;14;9;12.69;0.080;13.67;3.54;18.52;<0,001;;0.223;4.874
5;Huhnerberg_04;N;Y;6/09/2023;106;155.1;µS/cm;155.10;7.46;18.694;14.881;0.803;4.161;4.161;19.496;19.041;mg/l;;Emma;;15;0.30;0.30;0.21;0.0003;3.75;0.26;6;11;11.09;0.068;12.36;3.43;1.81;<0,001;;0.223;2.432
6;Lime_02;Y;N;6/09/2023;106;249.3;µS/cm;249.30;7.45;17.653;13.84;0.456;3.814;3.814;18.109;17.654;mg/l;;Emma;;14;0.28;0.28;0.12;0.0004;9.66;0.32;7;5;17.49;0.052;9.20;3.52;1.20;<0,001;;0.173;2.339
7;Huhnerberg_08;N;Y;6/09/2023;106;301.8;µS/cm;301.80;7.45;26.865;23.052;1.089;4.447;4.447;27.955;27.5;mg/l;;Emma;;11;0.23;0.23;0.18;0.0007;21.45;0.19;16;7;21.10;0.100;24.02;7.72;7.15;<0,001;;0.309;2.998
8;Huhnerberg_12;N;Y;6/09/2023;106;322.7;µS/cm;322.70;7.30;18.129;14.316;1.709;5.067;5.067;19.838;19.383;mg/l;;Emma;;3;0.06;0.06;0.12;0.0005;22.98;0.24;12;15;24.67;0.056;18.74;8.67;5.45;<0,001;;0.171;4.331
9;Huhnerberg_50;Y;Y;6/09/2023;106;210.2;µS/cm;210.20;7.81;32.704;28.891;5.068;8.426;8.426;37.771;37.316;mg/l;;Emma;;32;0.64;0.64;0.32;0.0006;11.06;0.66;13;4;14.12;0.138;19.27;5.05;8.34;<0,001;;0.346;5.963
10;Lime_02;Y;N;6/09/2023;106;308.7;µS/cm;308.70;7.88;29.06;25.247;7.14;10.498;10.498;36.2;35.745;mg/l;;Emma;;54;1.07;1.07;0.10;0.0004;15.62;0.45;12;4;15.53;0.088;54.85;3.38;0.90;<0,001;;0.262;1.942
11;Control;Y;Y;6/09/2023;106;109.6;µS/cm;109.60;7.04;18.85;15.037;0.679;4.037;4.037;19.529;19.074;mg/l;;Emma;;12;0.23;0.23;0.18;0.0002;3.50;0.28;5;5;10.21;0.074;9.16;2.49;1.20;<0,001;;0.260;2.043
